top - 04:21:44 up 58 min,  1 user,  load average: 3,38, 2,36, 1,43
Threads: 1194 total,   7 em exec., 1186 dormindo,   0 parado,   1 zumbi
%CPU(s): 96,8 us,  3,2 sy,  0,0 ni,  0,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :  11410,8 total,    617,3 free,   6535,4 used,   4149,1 buff/cache     
MB swap:   3079,0 total,   3078,4 free,      0,6 used.   4875,4 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   4012 bruno     20   0  626728  53460  30260 S   0,0   0,5   0:00.09 gdbus
   4021 bruno     20   0  626728  53460  30260 S   0,0   0,5   0:00.00 [pango]+
   4053 bruno     20   0  626728  53460  30260 S   0,0   0,5   0:00.00 dconf w+
   4017 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4022 bruno     20   0  276804  24864  14444 S   0,0   0,2   0:00.01 gsd-xse+
   4029 bruno     20   0  276804  24864  14444 S   0,0   0,2   0:00.00 gmain
   4030 bruno     20   0  276804  24864  14444 S   0,0   0,2   0:00.00 pool-sp+
   4031 bruno     20   0  276804  24864  14444 S   0,0   0,2   0:00.01 gdbus
   4041 bruno     20   0  276804  24864  14444 S   0,0   0,2   0:00.00 dconf w+
   4083 bruno     20   0  401960  58920  46432 S   0,0   0,5   0:00.03 ibus-x11
   4084 bruno     20   0  401960  58920  46432 S   0,0   0,5   0:00.00 pool-sp+
   4085 bruno     20   0  401960  58920  46432 S   0,0   0,5   0:00.00 gmain
   4086 bruno     20   0  401960  58920  46432 S   0,0   0,5   0:00.00 gdbus
   4087 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.79 mutter-+
   4089 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 pool-sp+
   4090 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 gmain
   4091 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.01 gdbus
   4092 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 [pango]+
   4097 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 llvmpip+
   4098 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 llvmpip+
   4099 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 llvmpip+
   4100 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 llvmpip+
   4101 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 llvmpip+
   4102 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 mutter-+
   4103 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 mutter-+
   4104 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 mutter-+
   4105 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 mutter-+
   4106 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 mutter-+
   4107 bruno     39  19 1735480 158688  71688 S   0,0   1,4   0:00.00 mutter-+
   4127 bruno     20   0 1735480 158688  71688 S   0,0   1,4   0:00.00 dconf w+
   4117 bruno     20   0  520844  45312  24052 S   0,0   0,4   0:00.07 xdg-des+
   4118 bruno     20   0  520844  45312  24052 S   0,0   0,4   0:00.00 [pango]+
   4119 bruno     20   0  520844  45312  24052 S   0,0   0,4   0:00.00 pool-sp+
   4120 bruno     20   0  520844  45312  24052 S   0,0   0,4   0:00.00 gmain
   4122 bruno     20   0  520844  45312  24052 S   0,0   0,4   0:00.03 gdbus
   4123 bruno     20   0  520844  45312  24052 S   0,0   0,4   0:00.00 dconf w+
   4408 bruno     20   0  304692   6156   5512 S   0,0   0,1   0:00.00 user-se+
   4463 bruno     20   0  304692   6156   5512 S   0,0   0,1   0:00.00 pool-sp+
   4464 bruno     20   0  304692   6156   5512 S   0,0   0,1   0:00.00 gmain
   4465 bruno     20   0  304692   6156   5512 S   0,0   0,1   0:00.00 gdbus
   4467 bruno     20   0  448332  34904  26408 S   0,0   0,3   0:00.02 snapd-d+
   4468 bruno     20   0  448332  34904  26408 S   0,0   0,3   0:00.00 gmain
   4469 bruno     20   0  448332  34904  26408 S   0,0   0,3   0:00.00 pool-sp+
   4470 bruno     20   0  448332  34904  26408 S   0,0   0,3   0:00.00 gdbus
   4471 bruno     20   0  448332  34904  26408 S   0,0   0,3   0:00.00 [pango]+
   4646 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.84 nautilus
   4649 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 pool-sp+
   4650 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 gmain
   4651 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.04 gdbus
   4652 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 pool-1
   4656 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 [pango]+
   4657 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 dconf w+
   4666 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.09 nautilus
   4667 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.06 llvmpip+
   4668 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.06 llvmpip+
   4669 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.06 llvmpip+
   4670 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.06 llvmpip+
   4671 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.06 llvmpip+
   4672 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4673 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4674 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4675 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4676 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4677 bruno     39  19 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilu+
   4678 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 llvmpip+
   4679 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 llvmpip+
   4680 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 llvmpip+
   4681 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 llvmpip+
   4682 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 llvmpip+
   4683 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4684 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4685 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4686 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4687 bruno     20   0 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilus
   4688 bruno     39  19 3306320 350348 115268 S   0,0   3,0   0:00.00 nautilu+
   4689 bruno     20   0  409408  23784  11424 S   0,0   0,2   0:00.00 gvfsd-r+
   4691 bruno     20   0  409408  23784  11424 S   0,0   0,2   0:00.00 pool-sp+
   4692 bruno     20   0  409408  23784  11424 S   0,0   0,2   0:00.00 gmain
   4693 bruno     20   0  409408  23784  11424 S   0,0   0,2   0:00.00 gdbus
   4690 bruno     20   0  410516  25580  11608 S   0,0   0,2   0:00.00 gvfsd-n+
   4694 bruno     20   0  410516  25580  11608 S   0,0   0,2   0:00.00 pool-sp+
   4695 bruno     20   0  410516  25580  11608 S   0,0   0,2   0:00.00 gmain
   4697 bruno     20   0  410516  25580  11608 S   0,0   0,2   0:00.00 gdbus
   4699 bruno     20   0  410516  25580  11608 S   0,0   0,2   0:00.00 dconf w+
   4700 bruno     20   0  390392  18956   7748 S   0,0   0,2   0:00.00 gvfsd-d+
   4701 bruno     20   0  390392  18956   7748 S   0,0   0,2   0:00.00 pool-sp+
   4702 bruno     20   0  390392  18956   7748 S   0,0   0,2   0:00.00 gmain
   4703 bruno     20   0  390392  18956   7748 S   0,0   0,2   0:00.00 gdbus
   4706 bruno     20   0  409204  23704  11608 S   0,0   0,2   0:00.04 gvfsd-w+
   4707 bruno     20   0  409204  23704  11608 S   0,0   0,2   0:00.00 pool-sp+
   4708 bruno     20   0  409204  23704  11608 S   0,0   0,2   0:00.00 gmain
   4709 bruno     20   0  409204  23704  11608 S   0,0   0,2   0:00.00 gdbus
   4711 bruno     20   0   44784  33424  12412 S   0,0   0,3   0:00.12 python3
   4714 uuidd     20   0    7612   2556   2400 S   0,0   0,0   0:00.01 uuidd
   5076 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:01.71 gnome-c+
   5079 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5080 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 pool-sp+
   5081 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gmain
   5082 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5083 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5084 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5085 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5086 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.03 gdbus
   5087 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5088 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 [pango]+
   5091 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 dconf w+
   5121 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.21 gnome-c+
   5122 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.12 llvmpip+
   5123 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.12 llvmpip+
   5124 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.11 llvmpip+
   5125 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.13 llvmpip+
   5126 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.10 llvmpip+
   5127 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5128 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5129 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5130 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5131 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5132 bruno     39  19 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5133 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 llvmpip+
   5134 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 llvmpip+
   5135 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 llvmpip+
   5136 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 llvmpip+
   5137 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 llvmpip+
   5138 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5139 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5140 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5141 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5142 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5143 bruno     39  19 4742760 405844 127980 S   0,0   3,5   0:00.00 gnome-c+
   5148 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 gly-glo+
   5149 bruno     20   0 4742760 405844 127980 S   0,0   3,5   0:00.00 async-io
   5255 root      20   0       0      0      0 I   0,0   0,0   0:00.14 kworker+
  12384 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   1:06.34 firefox
  12452 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 AsyncSi+
  12456 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 [pango]+
  12457 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:15.35 Wayland+
  12458 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 pool-sp+
  12459 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 gmain
  12460 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.16 gdbus
  12478 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:15.14 glean.d+
  12480 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:05.53 IPC I/O+
  12481 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:01.12 Timer
  12482 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 Netlink+
  12483 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:04.88 Socket +
  12484 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:02.32 IPDL Ba+
  12487 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 dconf w+
  12488 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 HTML5 P+
  12489 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.02 StyleTh+
  12490 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.01 StyleTh+
  12495 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.06 JS Watc+
  12497 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:01.20 Cache2 +
  12499 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 Cookie
  12500 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.83 TaskCon+
  12501 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.11 TaskCon+
  12502 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.02 TaskCon+
  12503 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.01 TaskCon+
  12504 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 TaskCon+
  12508 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 Worker +
  12509 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.06 QuotaMa+
  12524 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.35 Softwar+
  12526 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.01 WRWorke+
  12527 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 WRWorke+
  12528 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 WRWorke+
  12529 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 WRWorke+
  12530 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.36 WRWorke+
  12531 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.26 WRWorke+
  12532 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.23 WRWorke+
  12533 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.19 WRWorke+
  12534 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.13 WRWorke+
  12535 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.33 WrGlyph+
  12536 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:12.36 Composi+
  12537 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.25 CanvasR+
  12538 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 ImageIO
  12539 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 IPC Lau+
  12541 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.02 Permiss+
  12542 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 Sandbox+
  12550 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  12577 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 GMPThre+
  12580 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 ImageBr+
  12581 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  12582 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 Process+
  12589 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:10.72 SwCompo+
  12593 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:11.89 WRScene+
  12594 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:01.15 WRScene+
  12595 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:26.61 WRRende+
  12605 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  12606 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 AudioIP+
  12607 bruno    -11   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 AudioIP+
  12608 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 AudioIP+
  12622 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.23 sqldb:p+
  12762 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 sqldb:9+
  12763 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.02 sqldb:p+
  12764 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.01 sqldb:c+
  12789 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  12809 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 RemoteL+
  12811 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.38 URL Cla+
  12952 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  12962 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.11 LS Thre+
  12974 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.04 DOM Wor+
  12978 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.03 sqldb:p+
  12979 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 sqldb:d+
  12980 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.06 MemoryP+
  13113 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  13245 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.02 glean.m+
  13320 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 sqldb:f+
  13321 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.06 sqldb:p+
  13322 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.17 sqldb:c+
  13349 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  13375 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.18 DOM Wor+
  13427 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  13474 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 DOM Wor+
  13523 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 sqldb:p+
  13564 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 llvmpip+
  13565 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 llvmpip+
  13566 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 llvmpip+
  13567 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 llvmpip+
  13568 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 llvmpip+
  13569 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 CanvasR+
  13570 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 CanvasR+
  13571 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 CanvasR+
  13572 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 CanvasR+
  13573 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 CanvasR+
  13574 bruno     39  19   11,9g 814588 289852 S   0,0   7,0   0:00.00 firefox+
  13752 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.08 BgIOThr+
  17748 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  17756 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  17854 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 FSBroke+
  18133 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.01 DOM Wor+
  18294 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.01 threade+
  19247 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.06 StreamT+
  19252 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 Indexed+
  19253 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.05 StreamT+
  19254 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 Backgro+
  19310 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 DNS Res+
  19311 bruno     20   0   11,9g 814588 289852 S   0,0   7,0   0:00.00 DNS Res+
  12454 bruno     20   0  148556   3104   2600 S   0,0   0,0   0:00.00 crashhe+
  12455 bruno     20   0  148556   3104   2600 S   0,0   0,0   0:00.00 crashhe+
  12540 bruno     20   0  451680  33032  23864 S   0,0   0,3   0:00.04 forkser+
  12543 bruno     20   0  464064  34864  24488 S   0,0   0,3   0:00.00 Socket +
  12546 bruno     20   0  464064  34864  24488 S   0,0   0,3   0:00.00 AsyncSi+
  12547 bruno     20   0  464064  34864  24488 S   0,0   0,3   0:00.00 IPC I/O+
  12549 bruno     20   0  464064  34864  24488 S   0,0   0,3   0:00.00 Socket +
  12551 bruno     20   0  464064  34864  24488 S   0,0   0,3   0:00.00 Profile+
  12574 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:02.68 Privile+
  12578 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 AsyncSi+
  12579 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.21 IPC I/O+
  12588 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 Socket +
  12590 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 HTML5 P+
  12591 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 StyleTh+
  12592 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.01 StyleTh+
  12596 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 JS Watc+
  12598 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 RemVidC+
  12599 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 ImageIO
  12600 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 Worker +
  12602 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 ImageBr+
  12603 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 Process+
  12604 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.00 Profile+
  12612 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.30 TaskCon+
  12613 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.16 TaskCon+
  12614 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.09 TaskCon+
  12615 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.03 TaskCon+
  12616 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.01 TaskCon+
  13371 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.20 DOM Wor+
  19339 bruno     20   0 2715940 208368 110520 S   0,0   1,8   0:00.02 StreamT+
  12583 bruno     20   0  658092  63708  44408 S   0,0   0,5   0:00.03 RDD Pro+
  12586 bruno     20   0  658092  63708  44408 S   0,0   0,5   0:00.00 AsyncSi+
  12587 bruno     20   0  658092  63708  44408 S   0,0   0,5   0:00.00 IPC I/O+
  12620 bruno     20   0  658092  63708  44408 S   0,0   0,5   0:00.00 Profile+
  12627 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.01 snap
  12628 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.00 snap
  12629 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.02 snap
  12630 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.00 snap
  12631 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.00 snap
  12632 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.00 snap
  12633 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.00 snap
  12634 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.00 snap
  12637 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.02 snap
  12638 bruno     20   0 1950940  42364  14596 S   0,0   0,4   0:00.01 snap
  12785 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.37 WebExte+
  12788 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 AsyncSi+
  12790 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.03 IPC I/O+
  12791 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 Socket +
  12792 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 HTML5 P+
  12793 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 StyleTh+
  12794 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 StyleTh+
  12795 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 JS Watc+
  12797 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 RemVidC+
  12798 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 ImageIO
  12799 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 Worker +
  12800 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 Timer
  12801 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.01 TaskCon+
  12802 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 TaskCon+
  12803 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 TaskCon+
  12804 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 TaskCon+
  12805 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 TaskCon+
  12806 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 ImageBr+
  12807 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 Process+
  12808 bruno     20   0 2637876 118784  86184 S   0,0   1,0   0:00.00 Profile+
  12944 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:01.22 Isolate+
  12947 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 AsyncSi+
  12948 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.17 IPC I/O+
  12953 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 Socket +
  12956 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 HTML5 P+
  12957 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 StyleTh+
  12958 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 StyleTh+
  12959 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.07 JS Watc+
  12961 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 RemVidC+
  12963 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 ImageIO
