top - 04:21:44 up 58 min,  1 user,  load average: 3,38, 2,36, 1,43
Threads: 1194 total,   7 em exec., 1186 dormindo,   0 parado,   1 zumbi
%CPU(s): 96,8 us,  3,2 sy,  0,0 ni,  0,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :  11410,8 total,    617,3 free,   6535,4 used,   4149,1 buff/cache     
MB swap:   3079,0 total,   3078,4 free,      0,6 used.   4875,4 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
    316 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    317 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    318 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    319 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    320 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    321 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    322 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    323 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    324 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    325 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    326 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    327 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    328 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    329 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    330 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    331 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    332 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    333 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    334 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    335 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    336 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    337 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
